Year,Month,Item,Quantity,Unit
1986,September,Oil Products Supply,217943,Barrels/Day
1986,September,Oil Products Consumption,233641,Barrels/Day
1986,September,Mogas Consumption,39016,Barrels/Day
1986,September,Diesel Oil Consumption,95368,Barrels/Day
1986,September,Others Consumption,99256,Barrels/Day
1986,September,Oil Products Demand,233641,Barrels/Day
1986,October,Crude Production,33298,Barrels/Day
1986,October,Crude Import,136154,Barrels/Day
1986,October,Crude Throughput,173151,Barrels/Day
1986,October,Oil Products Production,182670,Barrels/Day
1986,October,Oil Products Import,47065,Barrels/Day
1986,October,Oil Products Supply,229735,Barrels/Day
1986,October,Oil Products Consumption,229178,Barrels/Day
1986,October,Mogas Consumption,40109,Barrels/Day
1986,October,Diesel Oil Consumption,92370,Barrels/Day
1986,October,Others Consumption,96698,Barrels/Day
1986,October,Oil Products Demand,229178,Barrels/Day
1986,November,Crude Production,33247,Barrels/Day
1986,November,Crude Import,183145,Barrels/Day
1986,November,Crude Throughput,184796,Barrels/Day
1986,November,Oil Products Production,188720,Barrels/Day
1986,November,Oil Products Import,46512,Barrels/Day
1986,November,Oil Products Supply,235233,Barrels/Day
1986,November,Oil Products Consumption,234499,Barrels/Day
1986,November,Mogas Consumption,39969,Barrels/Day
1986,November,Diesel Oil Consumption,94147,Barrels/Day
1986,November,Others Consumption,100382,Barrels/Day
1986,November,Oil Products Demand,234499,Barrels/Day
1986,December,Crude Production,33405,Barrels/Day
1986,December,Crude Import,105767,Barrels/Day
1986,December,Crude Throughput,178409,Barrels/Day
1986,December,Oil Products Production,189646,Barrels/Day
1986,December,Oil Products Import,50790,Barrels/Day
1986,December,Oil Products Supply,240436,Barrels/Day
1986,December,Oil Products Consumption,236328,Barrels/Day
1986,December,Mogas Consumption,41049,Barrels/Day
1986,December,Diesel Oil Consumption,100602,Barrels/Day
1986,December,Others Consumption,94677,Barrels/Day
1986,December,Oil Products Demand,236328,Barrels/Day
1987,January,Crude Production,33268,Barrels/Day
1987,January,Crude Import,168130,Barrels/Day
1987,January,Crude Throughput,180265,Barrels/Day
1987,January,Oil Products Production,190297,Barrels/Day
1987,January,Oil Products Import,44376,Barrels/Day
1987,January,Oil Products Supply,234673,Barrels/Day
1987,January,Oil Products Consumption,263368,Barrels/Day
1987,January,Mogas Consumption,45402,Barrels/Day
1987,January,Diesel Oil Consumption,115903,Barrels/Day
1987,January,Others Consumption,102062,Barrels/Day
1987,January,Oil Products Demand,263368,Barrels/Day
1987,February,Crude Production,32718,Barrels/Day
1987,February,Crude Import,144857,Barrels/Day
1987,February,Crude Throughput,162868,Barrels/Day
1987,February,Oil Products Production,174121,Barrels/Day
1987,February,Oil Products Import,71414,Barrels/Day
1987,February,Oil Products Supply,245535,Barrels/Day
1987,February,Oil Products Consumption,255590,Barrels/Day
1987,February,Mogas Consumption,43552,Barrels/Day
1987,February,Diesel Oil Consumption,117058,Barrels/Day
1987,February,Others Consumption,94979,Barrels/Day
1987,February,Oil Products Demand,255590,Barrels/Day
1987,March,Crude Production,32257,Barrels/Day
1987,March,Crude Import,192884,Barrels/Day
1987,March,Crude Throughput,182809,Barrels/Day
1987,March,Oil Products Production,192555,Barrels/Day
1987,March,Oil Products Import,80570,Barrels/Day
1987,March,Oil Products Supply,273125,Barrels/Day
1987,March,Oil Products Consumption,254371,Barrels/Day
1987,March,Mogas Consumption,44296,Barrels/Day
1987,March,Diesel Oil Consumption,116257,Barrels/Day
1987,March,Others Consumption,93817,Barrels/Day
1987,March,Oil Products Demand,254371,Barrels/Day
1987,April,Crude Production,31099,Barrels/Day
1987,April,Crude Import,157986,Barrels/Day
1987,April,Crude Throughput,191282,Barrels/Day
1987,April,Oil Products Production,199588,Barrels/Day
1987,April,Oil Products Import,64104,Barrels/Day
1987,April,Oil Products Supply,263692,Barrels/Day
1987,April,Oil Products Consumption,256022,Barrels/Day
1987,April,Mogas Consumption,47369,Barrels/Day
1987,April,Diesel Oil Consumption,116004,Barrels/Day
1987,April,Others Consumption,92648,Barrels/Day
1987,April,Oil Products Demand,256022,Barrels/Day
1987,May,Crude Production,30842,Barrels/Day
1987,May,Crude Import,136558,Barrels/Day
1987,May,Crude Throughput,160477,Barrels/Day
1987,May,Oil Products Production,164486,Barrels/Day
1987,May,Oil Products Import,77895,Barrels/Day
1987,May,Oil Products Supply,242382,Barrels/Day
1987,May,Oil Products Consumption,251459,Barrels/Day
1987,May,Mogas Consumption,42823,Barrels/Day
1987,May,Diesel Oil Consumption,110700,Barrels/Day
1987,May,Others Consumption,97935,Barrels/Day
1987,May,Oil Products Demand,251459,Barrels/Day
1987,June,Crude Production,32067,Barrels/Day
1987,June,Crude Import,154485,Barrels/Day
1987,June,Crude Throughput,175293,Barrels/Day
1987,June,Oil Products Production,185598,Barrels/Day
1987,June,Oil Products Import,71867,Barrels/Day
1987,June,Oil Products Supply,257465,Barrels/Day
1987,June,Oil Products Consumption,250190,Barrels/Day
1987,June,Mogas Consumption,44837,Barrels/Day
1987,June,Diesel Oil Consumption,108607,Barrels/Day
1987,June,Others Consumption,96745,Barrels/Day
1987,June,Oil Products Demand,250190,Barrels/Day
1987,July,Crude Production,30695,Barrels/Day
1987,July,Crude Import,166680,Barrels/Day
1987,July,Crude Throughput,195317,Barrels/Day
1987,July,Oil Products Production,204507,Barrels/Day
1987,July,Oil Products Import,60331,Barrels/Day
1987,July,Oil Products Supply,264839,Barrels/Day
1987,July,Oil Products Consumption,253019,Barrels/Day
1987,July,Mogas Consumption,45454,Barrels/Day
1987,July,Diesel Oil Consumption,110575,Barrels/Day
1987,July,Others Consumption,96988,Barrels/Day
1987,July,Oil Products Demand,253019,Barrels/Day
1987,August,Crude Production,30226,Barrels/Day
1987,August,Crude Import,167600,Barrels/Day
1987,August,Crude Throughput,186350,Barrels/Day
1987,August,Oil Products Production,199229,Barrels/Day
1987,August,Oil Products Import,91835,Barrels/Day
1987,August,Oil Products Supply,291064,Barrels/Day
1987,August,Oil Products Consumption,242617,Barrels/Day
1987,August,Mogas Consumption,42870,Barrels/Day
1987,August,Diesel Oil Consumption,108261,Barrels/Day
1987,August,Others Consumption,91486,Barrels/Day
1987,August,Oil Products Demand,242617,Barrels/Day
1987,September,Crude Production,30951,Barrels/Day
1987,September,Crude Import,147713,Barrels/Day
1987,September,Crude Throughput,160094,Barrels/Day
1987,September,Oil Products Production,171664,Barrels/Day
1987,September,Oil Products Import,80039,Barrels/Day
1987,September,Oil Products Supply,251703,Barrels/Day
1987,September,Oil Products Consumption,245743,Barrels/Day
1987,September,Mogas Consumption,43412,Barrels/Day
1987,September,Diesel Oil Consumption,103196,Barrels/Day
1987,September,Others Consumption,99135,Barrels/Day
1987,September,Oil Products Demand,245743,Barrels/Day
1987,October,Crude Production,31356,Barrels/Day
1987,October,Crude Import,168702,Barrels/Day
1987,October,Crude Throughput,187531,Barrels/Day
1987,October,Oil Products Production,193161,Barrels/Day
1987,October,Oil Products Import,79402,Barrels/Day
1987,October,Oil Products Supply,272564,Barrels/Day
1987,October,Oil Products Consumption,247089,Barrels/Day
1987,October,Mogas Consumption,46258,Barrels/Day
1987,October,Diesel Oil Consumption,105299,Barrels/Day
1987,October,Others Consumption,95531,Barrels/Day
1987,October,Oil Products Demand,247089,Barrels/Day
1987,November,Crude Production,34226,Barrels/Day
1987,November,Crude Import,175914,Barrels/Day
1987,November,Crude Throughput,181781,Barrels/Day
1987,November,Oil Products Production,183184,Barrels/Day
1987,November,Oil Products Import,63340,Barrels/Day
1987,November,Oil Products Supply,246524,Barrels/Day
1987,November,Oil Products Consumption,250019,Barrels/Day
1987,November,Mogas Consumption,45475,Barrels/Day
1987,November,Diesel Oil Consumption,106488,Barrels/Day
1987,November,Others Consumption,98056,Barrels/Day
1987,November,Oil Products Demand,250019,Barrels/Day
1987,December,Crude Production,33399,Barrels/Day
1987,December,Crude Import,153430,Barrels/Day
1987,December,Crude Throughput,175071,Barrels/Day
1987,December,Oil Products Production,189506,Barrels/Day
1987,December,Oil Products Import,52470,Barrels/Day
1987,December,Oil Products Supply,241977,Barrels/Day
1987,December,Oil Products Consumption,260788,Barrels/Day
1987,December,Mogas Consumption,45153,Barrels/Day
1987,December,Diesel Oil Consumption,111278,Barrels/Day
1987,December,Others Consumption,104356,Barrels/Day
1987,December,Oil Products Demand,260788,Barrels/Day
1988,January,Crude Production,35915,Barrels/Day
1988,January,Crude Import,141921,Barrels/Day
1988,January,Crude Throughput,200540,Barrels/Day
1988,January,Oil Products Production,210527,Barrels/Day
1988,January,Oil Products Import,36393,Barrels/Day
1988,January,Oil Products Supply,246920,Barrels/Day
1988,January,Oil Products Consumption,267885,Barrels/Day
1988,January,Mogas Consumption,46436,Barrels/Day
1988,January,Diesel Oil Consumption,122448,Barrels/Day
1988,January,Others Consumption,99001,Barrels/Day
1988,January,Oil Products Demand,267885,Barrels/Day
1988,February,Crude Production,42359,Barrels/Day
1988,February,Crude Import,147599,Barrels/Day
1988,February,Crude Throughput,197547,Barrels/Day
1988,February,Oil Products Production,209008,Barrels/Day
1988,February,Oil Products Import,77529,Barrels/Day
1988,February,Oil Products Supply,286538,Barrels/Day
1988,February,Oil Products Consumption,282734,Barrels/Day
1988,February,Mogas Consumption,50682,Barrels/Day
1988,February,Diesel Oil Consumption,128913,Barrels/Day
1988,February,Others Consumption,103138,Barrels/Day
1988,February,Oil Products Demand,282734,Barrels/Day
1988,March,Crude Production,39150,Barrels/Day
1988,March,Crude Import,89611,Barrels/Day
1988,March,Crude Throughput,154678,Barrels/Day
1988,March,Oil Products Production,165518,Barrels/Day
1988,March,Oil Products Import,95303,Barrels/Day
1988,March,Oil Products Supply,260821,Barrels/Day
1988,March,Oil Products Consumption,282334,Barrels/Day
1988,March,Mogas Consumption,49089,Barrels/Day
1988,March,Diesel Oil Consumption,130044,Barrels/Day
1988,March,Others Consumption,103200,Barrels/Day
1988,March,Oil Products Demand,282334,Barrels/Day
1988,April,Crude Production,28452,Barrels/Day
1988,April,Crude Import,147339,Barrels/Day
1988,April,Crude Throughput,136164,Barrels/Day
1988,April,Oil Products Production,147961,Barrels/Day
1988,April,Oil Products Import,122380,Barrels/Day
1988,April,Oil Products Supply,270341,Barrels/Day
1988,April,Oil Products Consumption,280794,Barrels/Day
1988,April,Mogas Consumption,51582,Barrels/Day
1988,April,Diesel Oil Consumption,125967,Barrels/Day
1988,April,Others Consumption,103245,Barrels/Day
1988,April,Oil Products Demand,280794,Barrels/Day
1988,May,Crude Production,35618,Barrels/Day
1988,May,Crude Import,194961,Barrels/Day
1988,May,Crude Throughput,182773,Barrels/Day
1988,May,Oil Products Production,192573,Barrels/Day
1988,May,Oil Products Import,99545,Barrels/Day
1988,May,Oil Products Supply,292118,Barrels/Day
1988,May,Oil Products Consumption,271260,Barrels/Day
1988,May,Mogas Consumption,46401,Barrels/Day
1988,May,Diesel Oil Consumption,119479,Barrels/Day
1988,May,Others Consumption,105379,Barrels/Day
1988,May,Oil Products Demand,271260,Barrels/Day
1988,June,Crude Production,36530,Barrels/Day
1988,June,Crude Import,129945,Barrels/Day
1988,June,Crude Throughput,197461,Barrels/Day
1988,June,Oil Products Production,207967,Barrels/Day
1988,June,Oil Products Import,96193,Barrels/Day
1988,June,Oil Products Supply,304160,Barrels/Day
1988,June,Oil Products Consumption,280521,Barrels/Day
1988,June,Mogas Consumption,49025,Barrels/Day
1988,June,Diesel Oil Consumption,124143,Barrels/Day
1988,June,Others Consumption,107352,Barrels/Day
1988,June,Oil Products Demand,280521,Barrels/Day
1988,July,Crude Production,37419,Barrels/Day
1988,July,Crude Import,179000,Barrels/Day
1988,July,Crude Throughput,191472,Barrels/Day
1988,July,Oil Products Production,201761,Barrels/Day
1988,July,Oil Products Import,60476,Barrels/Day
1988,July,Oil Products Supply,262237,Barrels/Day
1988,July,Oil Products Consumption,270729,Barrels/Day
1988,July,Mogas Consumption,47734,Barrels/Day
1988,July,Diesel Oil Consumption,115779,Barrels/Day
1988,July,Others Consumption,107215,Barrels/Day
1988,July,Oil Products Demand,270729,Barrels/Day
1988,August,Crude Production,39188,Barrels/Day
1988,August,Crude Import,160762,Barrels/Day
1988,August,Crude Throughput,196565,Barrels/Day
1988,August,Oil Products Production,205676,Barrels/Day
1988,August,Oil Products Import,93639,Barrels/Day
1988,August,Oil Products Supply,299316,Barrels/Day
1988,August,Oil Products Consumption,278005,Barrels/Day
1988,August,Mogas Consumption,49339,Barrels/Day
1988,August,Diesel Oil Consumption,117092,Barrels/Day
1988,August,Others Consumption,111573,Barrels/Day
1988,August,Oil Products Demand,278005,Barrels/Day
1988,September,Crude Production,37779,Barrels/Day
1988,September,Crude Import,188649,Barrels/Day
1988,September,Crude Throughput,183183,Barrels/Day
1988,September,Oil Products Production,193305,Barrels/Day
1988,September,Oil Products Import,81936,Barrels/Day
1988,September,Oil Products Supply,275242,Barrels/Day
1988,September,Oil Products Consumption,282444,Barrels/Day
1988,September,Mogas Consumption,48342,Barrels/Day
1988,September,Diesel Oil Consumption,116813,Barrels/Day
1988,September,Others Consumption,117289,Barrels/Day
1988,September,Oil Products Demand,282444,Barrels/Day
1988,October,Crude Production,34786,Barrels/Day
1988,October,Crude Import,147729,Barrels/Day
1988,October,Crude Throughput,173184,Barrels/Day
1988,October,Oil Products Production,181756,Barrels/Day
1988,October,Oil Products Import,95053,Barrels/Day
1988,October,Oil Products Supply,276809,Barrels/Day
1988,October,Oil Products Consumption,267971,Barrels/Day
1988,October,Mogas Consumption,46952,Barrels/Day
1988,October,Diesel Oil Consumption,108356,Barrels/Day
1988,October,Others Consumption,112661,Barrels/Day
1988,October,Oil Products Demand,267971,Barrels/Day
1988,November,Crude Production,32485,Barrels/Day
1988,November,Crude Import,112974,Barrels/Day
1988,November,Crude Throughput,146057,Barrels/Day
1988,November,Oil Products Production,158190,Barrels/Day
1988,November,Oil Products Import,95421,Barrels/Day
1988,November,Oil Products Supply,253611,Barrels/Day
1988,November,Oil Products Consumption,286508,Barrels/Day
1988,November,Mogas Consumption,49365,Barrels/Day
1988,November,Diesel Oil Consumption,119947,Barrels/Day
1988,November,Others Consumption,117195,Barrels/Day
1988,November,Oil Products Demand,286508,Barrels/Day
1988,December,Crude Production,33895,Barrels/Day
1988,December,Crude Import,168438,Barrels/Day
1988,December,Crude Throughput,192236,Barrels/Day
1988,December,Oil Products Production,203110,Barrels/Day
1988,December,Oil Products Import,116419,Barrels/Day
1988,December,Oil Products Supply,319529,Barrels/Day
1988,December,Oil Products Consumption,299916,Barrels/Day
1988,December,Mogas Consumption,52133,Barrels/Day
1988,December,Diesel Oil Consumption,134320,Barrels/Day
1988,December,Others Consumption,113462,Barrels/Day
1988,December,Oil Products Demand,299916,Barrels/Day
1989,January,Crude Production,39295,Barrels/Day
1989,January,Crude Import,189068,Barrels/Day
1989,January,Crude Throughput,226474,Barrels/Day
1989,January,Oil Products Production,236126,Barrels/Day
1989,January,Oil Products Import,82746,Barrels/Day
1989,January,Oil Products Supply,318873,Barrels/Day
1989,January,Oil Products Consumption,332518,Barrels/Day
1989,January,Mogas Consumption,55021,Barrels/Day
1989,January,Diesel Oil Consumption,144499,Barrels/Day
1989,January,Others Consumption,132998,Barrels/Day
1989,January,Oil Products Export,2,Barrels/Day
1989,January,Oil Products Demand,332520,Barrels/Day
1989,February,Crude Production,35935,Barrels/Day
1989,February,Crude Import,214915,Barrels/Day
1989,February,Crude Throughput,189810,Barrels/Day
1989,February,Oil Products Production,197693,Barrels/Day
1989,February,Oil Products Import,154114,Barrels/Day
1989,February,Oil Products Supply,351807,Barrels/Day
1989,February,Oil Products Consumption,330864,Barrels/Day
1989,February,Mogas Consumption,55773,Barrels/Day
1989,February,Diesel Oil Consumption,148840,Barrels/Day
1989,February,Others Consumption,126250,Barrels/Day
1989,February,Oil Products Export,6,Barrels/Day
1989,February,Oil Products Demand,330870,Barrels/Day
1989,March,Crude Production,38615,Barrels/Day
1989,March,Crude Import,154803,Barrels/Day
1989,March,Crude Throughput,169690,Barrels/Day
1989,March,Oil Products Production,180531,Barrels/Day
1989,March,Oil Products Import,143738,Barrels/Day
1989,March,Oil Products Supply,324270,Barrels/Day
1989,March,Oil Products Consumption,343619,Barrels/Day
1989,March,Mogas Consumption,57500,Barrels/Day
1989,March,Diesel Oil Consumption,157743,Barrels/Day
1989,March,Others Consumption,128376,Barrels/Day
1989,March,Oil Products Export,51,Barrels/Day
1989,March,Oil Products Demand,343670,Barrels/Day
1989,April,Crude Production,33826,Barrels/Day
1989,April,Crude Import,182938,Barrels/Day
1989,April,Crude Throughput,170548,Barrels/Day
1989,April,Oil Products Production,180866,Barrels/Day
1989,April,Oil Products Import,142266,Barrels/Day
1989,April,Oil Products Supply,323133,Barrels/Day
1989,April,Oil Products Consumption,342636,Barrels/Day
1989,April,Mogas Consumption,58787,Barrels/Day
1989,April,Diesel Oil Consumption,157496,Barrels/Day
1989,April,Others Consumption,126352,Barrels/Day
1989,April,Oil Products Export,5,Barrels/Day
1989,April,Oil Products Demand,342641,Barrels/Day
1989,May,Crude Production,40425,Barrels/Day
1989,May,Crude Import,152012,Barrels/Day
1989,May,Crude Throughput,218135,Barrels/Day
1989,May,Oil Products Production,216059,Barrels/Day
1989,May,Oil Products Import,137149,Barrels/Day
1989,May,Oil Products Supply,353209,Barrels/Day
1989,May,Oil Products Consumption,337465,Barrels/Day
1989,May,Mogas Consumption,56634,Barrels/Day
1989,May,Diesel Oil Consumption,154878,Barrels/Day
1989,May,Others Consumption,125952,Barrels/Day
1989,May,Oil Products Export,160,Barrels/Day
1989,May,Oil Products Demand,337626,Barrels/Day
1989,June,Crude Production,42315,Barrels/Day
1989,June,Crude Import,249124,Barrels/Day
1989,June,Crude Throughput,237440,Barrels/Day
1989,June,Oil Products Production,234399,Barrels/Day
1989,June,Oil Products Import,105221,Barrels/Day
1989,June,Oil Products Supply,339621,Barrels/Day
1989,June,Oil Products Consumption,346450,Barrels/Day
1989,June,Mogas Consumption,57147,Barrels/Day
1989,June,Diesel Oil Consumption,152007,Barrels/Day
1989,June,Others Consumption,137295,Barrels/Day
1989,June,Oil Products Export,264,Barrels/Day
1989,June,Oil Products Demand,346714,Barrels/Day
1989,July,Crude Production,40615,Barrels/Day
1989,July,Crude Import,217461,Barrels/Day
1989,July,Crude Throughput,254147,Barrels/Day
1989,July,Oil Products Production,249534,Barrels/Day
1989,July,Oil Products Import,139142,Barrels/Day
1989,July,Oil Products Supply,388676,Barrels/Day
1989,July,Oil Products Consumption,333967,Barrels/Day
1989,July,Mogas Consumption,56713,Barrels/Day
1989,July,Diesel Oil Consumption,146257,Barrels/Day
1989,July,Others Consumption,130997,Barrels/Day
1989,July,Oil Products Export,63,Barrels/Day
1989,July,Oil Products Demand,334031,Barrels/Day
1989,August,Crude Production,41533,Barrels/Day
1989,August,Crude Import,229860,Barrels/Day
1989,August,Crude Throughput,253942,Barrels/Day
1989,August,Oil Products Production,253900,Barrels/Day
1989,August,Oil Products Import,82249,Barrels/Day
1989,August,Oil Products Supply,336150,Barrels/Day
1989,August,Oil Products Consumption,340113,Barrels/Day
1989,August,Mogas Consumption,55875,Barrels/Day
1989,August,Diesel Oil Consumption,145837,Barrels/Day
1989,August,Others Consumption,138400,Barrels/Day
1989,August,Oil Products Export,547,Barrels/Day
1989,August,Oil Products Demand,340661,Barrels/Day
1989,September,Crude Production,41911,Barrels/Day
1989,September,Crude Import,210113,Barrels/Day
1989,September,Crude Throughput,255070,Barrels/Day
1989,September,Oil Products Production,249215,Barrels/Day
1989,September,Oil Products Import,94073,Barrels/Day
1989,September,Oil Products Supply,343289,Barrels/Day
1989,September,Oil Products Consumption,331593,Barrels/Day
1989,September,Mogas Consumption,56364,Barrels/Day
1989,September,Diesel Oil Consumption,141963,Barrels/Day
1989,September,Others Consumption,133264,Barrels/Day
1989,September,Oil Products Export,424,Barrels/Day
1989,September,Oil Products Demand,332017,Barrels/Day
1989,October,Crude Production,42099,Barrels/Day
1989,October,Crude Import,241468,Barrels/Day
1989,October,Crude Throughput,241208,Barrels/Day
1989,October,Oil Products Production,239752,Barrels/Day
1989,October,Oil Products Import,89472,Barrels/Day
1989,October,Oil Products Supply,329225,Barrels/Day
1989,October,Oil Products Consumption,335705,Barrels/Day
1989,October,Mogas Consumption,57857,Barrels/Day
1989,October,Diesel Oil Consumption,137058,Barrels/Day
1989,October,Others Consumption,140789,Barrels/Day
1989,October,Oil Products Export,324,Barrels/Day
1989,October,Oil Products Demand,336029,Barrels/Day
1989,November,Crude Production,40344,Barrels/Day
1989,November,Crude Import,204345,Barrels/Day
1989,November,Crude Throughput,241900,Barrels/Day
1989,November,Oil Products Production,250022,Barrels/Day
1989,November,Oil Products Import,81272,Barrels/Day
1989,November,Oil Products Supply,331294,Barrels/Day
1989,November,Oil Products Consumption,362880,Barrels/Day
1989,November,Mogas Consumption,60020,Barrels/Day
1989,November,Diesel Oil Consumption,146948,Barrels/Day
1989,November,Others Consumption,155912,Barrels/Day
1989,November,Oil Products Export,10,Barrels/Day
1989,November,Oil Products Demand,362891,Barrels/Day
1989,December,Crude Production,40187,Barrels/Day
1989,December,Crude Import,206116,Barrels/Day
1989,December,Crude Throughput,243331,Barrels/Day
1989,December,Oil Products Production,253708,Barrels/Day
1989,December,Oil Products Import,85335,Barrels/Day
1989,December,Oil Products Supply,339044,Barrels/Day
1989,December,Oil Products Consumption,360755,Barrels/Day
1989,December,Mogas Consumption,59157,Barrels/Day
1989,December,Diesel Oil Consumption,155137,Barrels/Day
1989,December,Others Consumption,146460,Barrels/Day
1989,December,Oil Products Export,153,Barrels/Day
1989,December,Oil Products Demand,360908,Barrels/Day
1990,January,Crude Production,42257,Barrels/Day
1990,January,Crude Import,226383,Barrels/Day
1990,January,Crude Throughput,257062,Barrels/Day
1990,January,Oil Products Production,257230,Barrels/Day
1990,January,Oil Products Import,145762,Barrels/Day
1990,January,Oil Products Supply,402992,Barrels/Day
1990,January,Oil Products Consumption,399957,Barrels/Day
1990,January,Mogas Consumption,64282,Barrels/Day
1990,January,Diesel Oil Consumption,171504,Barrels/Day
1990,January,Others Consumption,164170,Barrels/Day
1990,January,Oil Products Export,203,Barrels/Day
1990,January,Oil Products Demand,400160,Barrels/Day
1990,February,Crude Production,41978,Barrels/Day
1990,February,Crude Import,196187,Barrels/Day
1990,February,Crude Throughput,205841,Barrels/Day
1990,February,Oil Products Production,213915,Barrels/Day
1990,February,Oil Products Import,193244,Barrels/Day
1990,February,Oil Products Supply,407159,Barrels/Day
1990,February,Oil Products Consumption,413758,Barrels/Day
1990,February,Mogas Consumption,62517,Barrels/Day
1990,February,Diesel Oil Consumption,177587,Barrels/Day
1990,February,Others Consumption,173653,Barrels/Day
1990,February,Oil Products Export,469,Barrels/Day
1990,February,Oil Products Demand,414227,Barrels/Day
1990,March,Crude Production,42528,Barrels/Day
1990,March,Crude Import,201856,Barrels/Day
1990,March,Crude Throughput,202265,Barrels/Day
1990,March,Oil Products Production,212675,Barrels/Day
1990,March,Oil Products Import,170874,Barrels/Day
1990,March,Oil Products Supply,383550,Barrels/Day
1990,March,Oil Products Consumption,411235,Barrels/Day
1990,March,Mogas Consumption,65044,Barrels/Day
1990,March,Diesel Oil Consumption,176735,Barrels/Day
